month,1,2,3,4,total,pct_1,pct_2,pct_3,pct_4
2022-09-01,53890,11049,37871,1933,104743,51.44973888469874,10.548676283856679,36.156115444468846,1.8454693869757406
2022-10-01,55786,11249,38322,1940,107297,51.99213398324277,10.483983708770982,35.71581684483257,1.8080654631536761
2022-11-01,56557,11554,40685,1954,110750,51.06726862302483,10.432505643340857,36.73589164785553,1.764334085778781
2022-12-01,49004,10445,36498,1768,97715,50.14992580463593,10.689249347592488,37.35148134882055,1.8093434989510309
2023-01-01,48529,10552,37238,1935,98254,49.39137337920085,10.739511877379037,37.89972927310848,1.9693854703116414
2023-02-01,42022,9202,34012,1721,86957,48.325034212311834,10.582241797670113,39.11358487528319,1.9791391147348691
2023-03-01,41889,9580,35499,1764,88732,47.20844791056214,10.79655592120092,40.00698733264211,1.9880088355948247
2023-04-01,38172,9294,35498,1820,84784,45.02264578222306,10.961973957350443,41.868748820532176,2.14663143989432
2023-05-01,38357,9217,37216,1965,86755,44.213013659155095,10.624171517491787,42.89781568785661,2.264999135496513
2023-06-01,36849,9040,36323,1991,84203,43.762098737574675,10.73595952638267,43.13741790672541,2.3645238293172453
2023-07-01,36412,8921,35598,1961,82892,43.927037591082374,10.76219659315736,42.94503691550452,2.3657289002557547
2023-08-01,34251,8640,34361,1832,79084,43.309645440291334,10.925092306914168,43.44873805068029,2.316524202114208
2023-09-01,29744,7632,30137,1669,69182,42.99384232892949,11.03177126998352,43.5619091671244,2.4124772339625915
2023-10-01,30446,7679,30648,1637,70410,43.24101690100838,10.906121289589548,43.52790796761823,2.3249538417838376
2023-11-01,28279,7343,29498,1597,66717,42.38649819386363,11.00619032630364,44.21361871786801,2.393692761964717
2023-12-01,24094,6383,24812,1318,56607,42.563640539155934,11.275990601869026,43.83203490734361,2.3283339516314236
2024-01-01,26664,7003,27972,1544,63183,42.20122501305731,11.083677571498662,44.27140211765823,2.443695297785797
2024-02-01,26146,6546,27454,1536,61682,42.388379105735865,10.612496352258358,44.50893291397814,2.4901916280276257
2024-03-01,28751,7379,29907,1709,67746,42.439406016591384,10.892155994449856,44.14577982463909,2.522658164319665
