加载数据...
总样本: 98,000条
已有: 9,400条，继续...
待处理: 88,600条，5线程并行
[43,000/98000] 新增33,600 | 8005条/h | 剩余~6.9h | 错误:25
[43,200/98000] 新增33,800 | 8015条/h | 剩余~6.8h | 错误:25
[43,400/98000] 新增34,000 | 8028条/h | 剩余~6.8h | 错误:25
[43,600/98000] 新增34,200 | 8041条/h | 剩余~6.8h | 错误:25
[43,800/98000] 新增34,400 | 8052条/h | 剩余~6.7h | 错误:25
[44,000/98000] 新增34,600 | 8061条/h | 剩余~6.7h | 错误:25
[44,200/98000] 新增34,800 | 8068条/h | 剩余~6.7h | 错误:25
[44,400/98000] 新增35,000 | 8068条/h | 剩余~6.6h | 错误:25
[44,600/98000] 新增35,200 | 8067条/h | 剩余~6.6h | 错误:25
[44,800/98000] 新增35,400 | 8061条/h | 剩余~6.6h | 错误:25
[45,000/98000] 新增35,600 | 8068条/h | 剩余~6.6h | 错误:25
[45,200/98000] 新增35,800 | 8077条/h | 剩余~6.5h | 错误:25
[45,400/98000] 新增36,000 | 8087条/h | 剩余~6.5h | 错误:25
[45,600/98000] 新增36,200 | 8078条/h | 剩余~6.5h | 错误:25
[45,800/98000] 新增36,400 | 8089条/h | 剩余~6.5h | 错误:25
[46,000/98000] 新增36,600 | 8090条/h | 剩余~6.4h | 错误:25
[46,200/98000] 新增36,800 | 8102条/h | 剩余~6.4h | 错误:25
[46,400/98000] 新增37,000 | 8020条/h | 剩余~6.4h | 错误:26
[46,600/98000] 新增37,200 | 7912条/h | 剩余~6.5h | 错误:36
[46,800/98000] 新增37,400 | 7891条/h | 剩余~6.5h | 错误:36
[47,000/98000] 新增37,600 | 7901条/h | 剩余~6.5h | 错误:36
[47,200/98000] 新增37,800 | 7900条/h | 剩余~6.4h | 错误:36
[47,400/98000] 新增38,000 | 7894条/h | 剩余~6.4h | 错误:36
[47,600/98000] 新增38,200 | 7873条/h | 剩余~6.4h | 错误:36
[47,800/98000] 新增38,400 | 7882条/h | 剩余~6.4h | 错误:36
[48,000/98000] 新增38,600 | 7884条/h | 剩余~6.3h | 错误:36
[48,200/98000] 新增38,800 | 7872条/h | 剩余~6.3h | 错误:36
[48,400/98000] 新增39,000 | 7877条/h | 剩余~6.3h | 错误:36
[48,600/98000] 新增39,200 | 7872条/h | 剩余~6.3h | 错误:36
[48,800/98000] 新增39,400 | 7842条/h | 剩余~6.3h | 错误:36
[49,000/98000] 新增39,600 | 7644条/h | 剩余~6.4h | 错误:48
[49,200/98000] 新增39,800 | 7613条/h | 剩余~6.4h | 错误:49
[49,400/98000] 新增40,000 | 7627条/h | 剩余~6.4h | 错误:49
[49,600/98000] 新增40,200 | 7637条/h | 剩余~6.3h | 错误:49
[49,800/98000] 新增40,400 | 7642条/h | 剩余~6.3h | 错误:49
[50,000/98000] 新增40,600 | 7650条/h | 剩余~6.3h | 错误:49
[50,200/98000] 新增40,800 | 7646条/h | 剩余~6.3h | 错误:49
[50,400/98000] 新增41,000 | 7651条/h | 剩余~6.2h | 错误:49
[50,600/98000] 新增41,200 | 7642条/h | 剩余~6.2h | 错误:49
