lang,month,n_questions,median_body_length,median_code_blocks,frac_with_code
cpp,2019-02,3595,1278.0,2.0,0.915716
cpp,2019-03,4257,1271.0,2.0,0.916843
cpp,2019-04,4234,1277.0,2.0,0.919698
cpp,2019-05,3956,1315.0,2.0,0.921891
cpp,2019-06,3517,1303.0,2.0,0.922946
cpp,2019-07,4054,1256.5,2.0,0.907745
cpp,2019-08,3138,1274.5,3.0,0.923837
cpp,2019-09,3627,1240.0,2.0,0.924455
cpp,2019-10,4676,1251.0,2.0,0.920659
cpp,2019-11,4539,1239.0,2.0,0.913637
cpp,2019-12,4052,1238.0,2.0,0.920286
cpp,2020-01,4074,1265.5,3.0,0.923908
cpp,2020-02,3927,1231.0,2.0,0.923351
cpp,2020-03,4493,1228.0,2.0,0.915869
cpp,2020-04,6023,1220.0,2.0,0.919475
cpp,2020-05,6215,1238.0,2.0,0.907965
cpp,2020-06,5416,1218.0,2.0,0.903619
cpp,2020-07,4959,1229.0,2.0,0.910264
cpp,2020-08,4591,1219.0,2.0,0.906556
cpp,2020-09,3760,1254.0,2.0,0.916223
cpp,2020-10,4191,1285.0,2.0,0.928179
cpp,2020-11,4172,1306.5,2.0,0.922819
cpp,2020-12,4301,1276.0,2.0,0.930946
cpp,2021-01,3965,1249.0,2.0,0.915511
cpp,2021-02,3969,1227.0,2.0,0.915092
cpp,2021-03,4169,1326.0,2.0,0.932118
cpp,2021-04,3813,1306.0,2.0,0.928665
cpp,2021-05,4040,1293.0,2.0,0.918812
cpp,2021-06,3697,1285.0,3.0,0.926697
cpp,2021-07,3379,1245.0,2.0,0.916839
cpp,2021-08,3148,1278.0,3.0,0.931067
cpp,2021-09,3489,1263.0,3.0,0.923187
cpp,2021-10,3601,1268.0,2.0,0.921966
cpp,2021-11,3681,1223.0,2.0,0.917142
cpp,2021-12,3435,1249.0,2.0,0.918486
cpp,2022-01,3478,1248.0,3.0,0.912306
cpp,2022-02,3063,1282.0,2.0,0.905975
cpp,2022-03,3406,1292.5,2.0,0.909571
cpp,2022-04,3356,1346.0,2.0,0.9264
cpp,2022-05,3414,1287.0,2.0,0.910955
cpp,2022-06,2979,1326.0,3.0,0.918765
cpp,2022-07,2887,1379.0,3.0,0.925875
cpp,2022-08,2851,1313.0,3.0,0.927043
cpp,2022-09,2684,1343.0,2.0,0.923621
cpp,2022-10,2842,1338.5,3.0,0.918367
cpp,2022-11,2862,1357.0,3.0,0.924179
cpp,2022-12,2527,1438.0,3.0,0.925603
cpp,2023-01,2343,1444.0,3.0,0.930004
cpp,2023-02,1982,1508.5,3.0,0.924319
cpp,2023-03,2268,1490.5,3.0,0.929012
cpp,2023-04,1852,1542.0,3.0,0.916847
cpp,2023-05,1715,1611.0,3.0,0.937609
cpp,2023-06,1729,1530.0,3.0,0.907461
cpp,2023-07,1765,1484.0,3.0,0.920113
cpp,2023-08,1595,1525.0,3.0,0.937931
cpp,2023-09,1428,1603.0,3.0,0.932073
cpp,2023-10,1640,1595.0,3.0,0.923171
cpp,2023-11,1403,1607.0,3.0,0.92516
cpp,2023-12,1383,1619.0,3.0,0.908171
cpp,2024-01,1522,1610.5,3.0,0.920499
cpp,2024-02,1386,1594.0,3.0,0.937229
cpp,2024-03,1567,1701.0,3.0,0.920868
csharp,2018-01,9105,1259.0,2.0,0.850851
csharp,2018-02,8357,1289.0,2.0,0.866579
csharp,2018-03,9560,1283.5,2.0,0.865586
csharp,2018-04,9016,1286.5,2.0,0.86047
csharp,2018-05,9706,1252.0,2.0,0.862765
csharp,2018-06,8567,1277.0,2.0,0.859811
csharp,2018-07,9164,1283.0,2.0,0.865015
csharp,2018-08,9262,1283.0,2.0,0.861477
csharp,2018-09,8163,1276.0,2.0,0.859365
csharp,2018-10,9111,1297.0,2.0,0.864669
csharp,2018-11,8263,1310.0,2.0,0.868208
csharp,2018-12,7370,1297.5,2.0,0.870014
csharp,2019-01,8536,1325.5,2.0,0.869728
csharp,2019-02,8133,1299.0,2.0,0.869175
csharp,2019-03,8747,1307.0,2.0,0.866011
csharp,2019-04,8875,1334.0,2.0,0.869183
csharp,2019-05,8786,1344.0,2.0,0.879012
csharp,2019-06,7377,1356.0,2.0,0.877593
csharp,2019-07,8209,1336.0,2.0,0.871726
csharp,2019-08,7481,1354.0,2.0,0.881299
csharp,2019-09,7631,1361.0,2.0,0.87459
csharp,2019-10,8183,1322.0,2.0,0.872296
csharp,2019-11,7805,1318.0,2.0,0.872005
csharp,2019-12,7020,1338.0,2.0,0.88433
csharp,2020-01,7595,1350.0,2.0,0.862409
csharp,2020-02,7513,1322.0,2.0,0.876215
csharp,2020-03,7616,1329.0,2.0,0.880515
csharp,2020-04,8346,1308.0,2.0,0.864246
csharp,2020-05,8387,1292.0,2.0,0.854656
csharp,2020-06,7697,1322.0,2.0,0.862284
csharp,2020-07,7608,1402.5,2.0,0.872371
csharp,2020-08,6860,1378.5,2.0,0.862682
csharp,2020-09,6301,1449.0,2.0,0.872401
csharp,2020-10,6002,1471.5,2.0,0.88937
csharp,2020-11,5836,1448.0,2.0,0.881083
csharp,2020-12,5569,1438.0,2.0,0.875741
csharp,2021-01,6051,1434.0,2.0,0.881838
csharp,2021-02,5659,1447.0,2.0,0.87754
csharp,2021-03,6223,1421.0,2.0,0.875462
csharp,2021-04,5762,1458.5,2.0,0.877126
csharp,2021-05,5602,1408.0,2.0,0.873617
csharp,2021-06,5496,1407.5,2.0,0.871907
csharp,2021-07,5081,1411.0,2.0,0.868923
csharp,2021-08,4962,1393.0,2.0,0.869811
csharp,2021-09,4929,1405.0,2.0,0.86407
csharp,2021-10,5157,1391.0,2.0,0.867946
csharp,2021-11,5487,1392.0,2.0,0.866594
csharp,2021-12,4918,1357.0,2.0,0.872712
csharp,2022-01,5157,1379.0,2.0,0.860966
csharp,2022-02,4975,1365.0,2.0,0.862714
csharp,2022-03,5564,1407.0,2.0,0.869159
csharp,2022-04,5083,1384.0,2.0,0.858351
csharp,2022-05,5388,1390.0,2.0,0.868226
csharp,2022-06,5193,1369.0,2.0,0.854034
csharp,2022-07,5106,1382.5,2.0,0.860948
csharp,2022-08,5376,1360.0,2.0,0.864211
csharp,2022-09,4892,1371.5,2.0,0.867743
csharp,2022-10,4938,1382.0,2.0,0.863507
csharp,2022-11,5065,1410.0,2.0,0.862192
