lang,month,n_active_users,total_questions,gini,hhi,top10_share
cpp,2020-06,3858,5156,0.221373,0.000423,0.262219
cpp,2020-07,3562,4767,0.223706,0.000492,0.265156
cpp,2020-08,3275,4426,0.232501,0.000523,0.278581
cpp,2020-09,2891,3653,0.187036,0.00053,0.24473
cpp,2020-10,3242,4061,0.180429,0.000448,0.239104
cpp,2020-11,3208,4011,0.179105,0.00044,0.238345
cpp,2020-12,3280,4170,0.191998,0.000476,0.2494
cpp,2021-01,3058,3829,0.180366,0.000464,0.24001
cpp,2021-02,3072,3863,0.183796,0.000477,0.242299
cpp,2021-03,3189,4027,0.186338,0.000461,0.242364
cpp,2021-04,2995,3687,0.169186,0.000478,0.233794
cpp,2021-05,3153,3930,0.179401,0.000478,0.245547
cpp,2021-06,2847,3592,0.187797,0.000525,0.250835
cpp,2021-07,2589,3289,0.191392,0.000642,0.249316
cpp,2021-08,2406,3068,0.194505,0.000696,0.251956
cpp,2021-09,2678,3355,0.183907,0.0006,0.250969
cpp,2021-10,2827,3514,0.17744,0.000536,0.243597
cpp,2021-11,2938,3605,0.166051,0.000463,0.229681
cpp,2021-12,2709,3372,0.17782,0.00053,0.243179
cpp,2022-01,2674,3416,0.195717,0.000587,0.253806
cpp,2022-02,2499,2982,0.148055,0.000524,0.2277
cpp,2022-03,2651,3327,0.184018,0.000579,0.246769
cpp,2022-04,2620,3293,0.185745,0.00064,0.248709
cpp,2022-05,2652,3329,0.185441,0.000588,0.252328
cpp,2022-06,2350,2932,0.180327,0.000677,0.245225
cpp,2022-07,2219,2822,0.190545,0.000675,0.243444
cpp,2022-08,2233,2816,0.188267,0.000772,0.252131
cpp,2022-09,2165,2646,0.16656,0.000694,0.240741
cpp,2022-10,2313,2813,0.163234,0.000674,0.239957
cpp,2022-11,2363,2822,0.149153,0.000566,0.229979
cpp,2022-12,2095,2490,0.146273,0.000672,0.230924
cpp,2023-01,1961,2321,0.142858,0.000702,0.22835
cpp,2023-02,1643,1969,0.151434,0.000856,0.229558
cpp,2023-03,1913,2245,0.13646,0.000734,0.224053
cpp,2023-04,1565,1834,0.134355,0.000803,0.220284
cpp,2023-05,1462,1695,0.126132,0.000834,0.216519
cpp,2023-06,1441,1702,0.141968,0.000989,0.230317
cpp,2023-07,1458,1752,0.155373,0.000958,0.240297
cpp,2023-08,1323,1574,0.145713,0.000978,0.226811
cpp,2023-09,1199,1415,0.142947,0.001303,0.236749
cpp,2023-10,1405,1630,0.12745,0.000883,0.220245
cpp,2023-11,1212,1395,0.123211,0.001131,0.218638
cpp,2023-12,1207,1370,0.11035,0.000986,0.207299
cpp,2024-01,1271,1517,0.149252,0.001062,0.233355
cpp,2024-02,1158,1383,0.152424,0.001451,0.243673
cpp,2024-03,1368,1566,0.117849,0.000925,0.213921
csharp,2018-01,6842,8846,0.200507,0.000215,0.2487
csharp,2018-02,6429,8134,0.188363,0.000228,0.24748
csharp,2018-03,7277,9306,0.193376,0.000196,0.244681
csharp,2018-04,6779,8773,0.202337,0.000233,0.252023
csharp,2018-05,7192,9413,0.207364,0.00021,0.251142
csharp,2018-06,6386,8307,0.204341,0.000232,0.251475
csharp,2018-07,6813,8945,0.209768,0.000219,0.25422
csharp,2018-08,6859,9039,0.214153,0.000225,0.261423
csharp,2018-09,6034,7988,0.216579,0.000261,0.261642
csharp,2018-10,6719,8860,0.214398,0.000241,0.259932
csharp,2018-11,6223,8045,0.201352,0.00024,0.251585
csharp,2018-12,5538,7166,0.202416,0.000278,0.252861
csharp,2019-01,6385,8333,0.208473,0.000245,0.25873
csharp,2019-02,6149,7888,0.195456,0.000233,0.246577
csharp,2019-03,6548,8513,0.20442,0.000234,0.251263
csharp,2019-04,6754,8664,0.197,0.000226,0.250808
csharp,2019-05,6622,8534,0.200844,0.000238,0.2558
csharp,2019-06,5778,7188,0.174107,0.00024,0.230523
csharp,2019-07,6232,7953,0.193171,0.000246,0.247077
csharp,2019-08,5839,7234,0.172656,0.000238,0.233343
csharp,2019-09,5937,7425,0.179828,0.000253,0.239057
csharp,2019-10,6306,7998,0.189274,0.000235,0.245436
csharp,2019-11,5978,7626,0.192833,0.000247,0.247181
csharp,2019-12,5335,6820,0.194903,0.00028,0.25044
csharp,2020-01,5836,7373,0.186312,0.000256,0.242235
csharp,2020-02,5718,7284,0.191819,0.000267,0.24547
csharp,2020-03,5827,7423,0.19304,0.000257,0.250573
csharp,2020-04,6328,8114,0.197075,0.000244,0.251294
csharp,2020-05,6326,8160,0.200167,0.000244,0.251225
csharp,2020-06,5842,7466,0.194788,0.000267,0.249933
csharp,2020-07,5772,7395,0.195986,0.000269,0.249222
csharp,2020-08,5284,6692,0.188545,0.000277,0.246115
csharp,2020-09,4976,6147,0.171549,0.000294,0.235074
csharp,2020-10,4802,5816,0.158419,0.000291,0.231946
csharp,2020-11,4638,5702,0.167841,0.000293,0.233251
csharp,2020-12,4432,5427,0.165454,0.000309,0.232357
csharp,2021-01,4761,5891,0.172543,0.000293,0.235953
csharp,2021-02,4515,5537,0.167097,0.000311,0.234965
csharp,2021-03,4896,6049,0.172801,0.00029,0.240205
csharp,2021-04,4610,5621,0.162743,0.000294,0.231987
csharp,2021-05,4444,5462,0.169339,0.00032,0.23874
csharp,2021-06,4351,5400,0.174732,0.000334,0.237222
csharp,2021-07,4090,5000,0.164922,0.000342,0.2336
csharp,2021-08,4060,4862,0.150022,0.000332,0.225216
csharp,2021-09,4012,4841,0.154942,0.000334,0.226606
csharp,2021-10,4142,5046,0.161793,0.000366,0.230083
csharp,2021-11,4397,5369,0.163286,0.000311,0.230397
csharp,2021-12,3969,4794,0.156944,0.000341,0.232374
csharp,2022-01,4224,5049,0.148843,0.000327,0.224599
csharp,2022-02,4047,4878,0.153141,0.000318,0.222427
csharp,2022-03,4475,5437,0.159479,0.000296,0.228251
csharp,2022-04,4155,4997,0.153729,0.000337,0.229338
csharp,2022-05,4278,5293,0.174176,0.000367,0.240695
csharp,2022-06,4163,5113,0.1685,0.000365,0.236652
csharp,2022-07,4059,5015,0.171659,0.000339,0.235892
csharp,2022-08,4236,5278,0.175916,0.000332,0.233043
csharp,2022-09,3949,4808,0.16251,0.00035,0.234401
csharp,2022-10,4029,4853,0.155102,0.000354,0.230991
csharp,2022-11,4109,4985,0.158745,0.000333,0.227884
csharp,2022-12,3736,4501,0.154722,0.000361,0.229727
csharp,2023-01,3808,4564,0.151891,0.000378,0.230719
